map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,776.9367782935309,775.556981673381,26,776.9367782935309,775.556981673381,26,2.0445704691935025,2.0409394254562656,26
StormPoint,665.485149619348,732.2963880834044,79,665.485149619348,732.2963880834044,79,2.0731624598733585,2.2812971591383313,79
WorldsEdge,673.4164279429231,674.6951023393625,68,673.4164279429231,674.6951023393625,68,1.850045131711327,1.8535579734597871,68
