map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,944.3085793394616,863.4491805919262,26,944.3085793394616,863.4491805919262,26,2.4850225772091097,2.2722346857682267,26
StormPoint,763.1108954554703,796.442218870898,79,763.1108954554703,796.442218870898,79,2.3772925092070727,2.4811284076975015,79
WorldsEdge,894.2115758426459,863.953271692181,68,894.2115758426459,863.953271692181,68,2.4566252083589175,2.3734979991543437,68
