map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,654.0598519953129,626.2963825517405,26,654.0598519953129,626.2963825517405,26,1.7212101368297708,1.6481483751361594,26
StormPoint,588.1004690654889,492.70401865623137,79,588.1004690654889,492.70401865623137,79,1.8320886886775358,1.5349034849103782,79
WorldsEdge,716.2419020030984,735.4801086974119,68,716.2419020030984,735.4801086974119,68,1.967697532975545,2.0205497491687137,68
