map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,641.4987470369077,557.4276063337942,26,641.4987470369077,557.4276063337942,26,1.6881545974655467,1.4669147535099847,26
StormPoint,570.9125415550976,527.8065528061535,79,570.9125415550976,527.8065528061535,79,1.778543743162298,1.6442571738509455,79
WorldsEdge,666.9317546044068,648.7753113928848,68,666.9317546044068,648.7753113928848,68,1.832230095067052,1.7823497565738593,68
