model,mean_raw_error,mean_clipped_error,median_clipped_error,mean_norm_error
Guide-inspired vector XGBoost,610.8764957456143,610.8764957456143,586.6772564198806,1.7607898452111976
Joint XGBoost,619.2625290110518,619.2625290110518,598.9426097151635,1.7860613971588744
Candidate ranker,643.5070840525914,643.5070840525914,599.8904066577494,1.8592041550369858
Momentum baseline k=0.25,646.0001140854615,646.0001140854615,653.2362704259463,1.8638899239005815
Momentum baseline k=0.50,648.3811707760835,648.3811707760835,617.3866292688886,1.8687277584129274
Constrained field COM baseline,666.3880243828432,666.3880243828432,691.6420954095272,1.92543125122591
Ring 3 center baseline,685.3526020559485,685.3526020559485,727.6317750071116,1.9811661010716568
Candidate classifier,720.1563361340411,720.1563361340411,635.3914384062787,2.070531015263561
Constrained field max baseline,841.8738205844398,841.8738205844398,841.590209068524,2.424665950307526
