map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,671.9845274283579,602.5313096344732,26,671.9845274283579,602.5313096344732,26,1.7683803353377836,1.5856087095644034,26
StormPoint,612.9639794332082,568.6225681416453,79,612.9639794332082,568.6225681416453,79,1.9095451072685614,1.771409869600141,79
WorldsEdge,668.1025507755522,713.7127614130484,68,668.1025507755522,713.7127614130484,68,1.835446568064704,1.9607493445413415,68
