map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,700.492296667304,684.3226840157613,26,700.492296667304,684.3226840157613,26,1.8434007807034318,1.80084916846253,26
StormPoint,603.0407181482265,601.5318985723035,79,603.0407181482265,601.5318985723035,79,1.8786315207109856,1.8739311482003222,79
WorldsEdge,675.0735777900744,677.6286974241648,68,675.0735777900744,677.6286974241648,68,1.854597741181523,1.8616173006158372,68
