,center,mom025,mom05,field_com,field_max,oracle_best,best_candidate,map,ring5_radius,oracle_norm_error
631,871.3036210185288,801.756587126043,773.8452687714774,729.3773129372663,114.69291172517977,114.69291172517977,field_max,WorldsEdge,364.0,0.31509041682741695
8,679.5189474915325,455.42926179594565,256.98686736874316,741.9939315028532,1652.0554537908226,256.98686736874316,mom05,BrokenMoon,380.0,0.6762812299177452
455,762.7070210769008,962.7744413932061,1185.7581962609408,1132.6406224318084,1604.5035025203288,762.7070210769008,center,StormPoint,321.0,2.3760343335728997
88,870.2919050525519,1057.952060586868,1262.2005585484424,588.6442510789365,343.2727778312761,343.2727778312761,field_max,StormPoint,321.0,1.0693856007204863
738,430.7505078348718,427.78535797757263,519.0146915068975,509.07991907625825,500.9711289086429,427.78535797757263,mom025,WorldsEdge,364.0,1.1752344999383864
588,503.8491837841954,762.031044315125,1024.4604677585173,437.16816597413134,310.975327638705,310.975327638705,field_max,StormPoint,321.0,0.9687704910863083
570,363.6000550054964,473.6774350758119,638.8789008881105,422.22731590192615,577.6785445210859,363.6000550054964,center,WorldsEdge,364.0,0.9989012500151
334,811.7893815516436,1091.5264827295764,1371.682634576964,651.9749333734427,294.90229432813794,294.90229432813794,field_max,StormPoint,321.0,0.9186987362247288
617,505.7291765362168,557.4124370697159,678.4294362717466,378.5701214114436,1105.2537605455136,378.5701214114436,field_com,WorldsEdge,364.0,1.0400278060753945
541,379.38107491017524,622.7186363037483,866.4040627790247,375.93297362300154,812.9440275935362,375.93297362300154,field_com,StormPoint,321.0,1.1711307589501605
451,856.3936010970657,989.9154004257131,1123.7882362794157,976.5004991301909,1103.0820567845344,856.3936010970657,center,WorldsEdge,364.0,2.352729673343587
561,539.7267827336346,694.2534209494398,873.4450469262507,512.7092746430184,239.57223879239444,239.57223879239444,field_max,WorldsEdge,364.0,0.6581654911878968
645,957.3844577806766,676.4490464920473,395.556885921608,1265.5065619488018,1659.7882795103717,395.556885921608,mom05,StormPoint,321.0,1.2322644421233895
788,950.8101808457881,675.0115739748468,406.10651312186565,732.681894809062,873.8197306080921,406.10651312186565,mom05,StormPoint,321.0,1.2651293243671826
378,443.63611214597944,189.3985546407364,180.33094576361538,86.5971623394944,266.38813487090584,86.5971623394944,field_com,StormPoint,321.0,0.2697730914002941
556,811.9759848665477,717.6672278988361,699.1680770744614,1030.303736438463,1517.83588309145,699.1680770744614,mom05,StormPoint,321.0,2.1780936980512817
825,272.72880302600976,163.42907483064332,58.50854638426767,233.47733023064677,523.5275427329489,58.50854638426767,mom05,StormPoint,321.0,0.18226961490426064
241,572.8053770697339,776.8619970754137,1018.1017876420805,702.4702176928895,1269.1747050741283,572.8053770697339,center,StormPoint,321.0,1.784440427008517
856,715.9441318985721,540.9182008400161,383.6899790195204,691.7697925601005,448.185342018232,383.6899790195204,mom05,WorldsEdge,364.0,1.0540933489547264
100,803.886807952463,855.3240979301354,954.4245648557041,869.578133853379,1321.8700262885154,803.886807952463,center,WorldsEdge,364.0,2.2084802416276457
211,526.232838199974,606.1881411740087,744.4173896410534,513.4820045682629,635.3914384062787,513.4820045682629,field_com,WorldsEdge,364.0,1.410664847715008
781,226.53035116734358,50.51794235714672,193.12237053226124,126.81721216837613,703.9004747831891,50.51794235714672,mom025,WorldsEdge,364.0,0.13878555592622727
157,922.3632689998014,882.7579651297405,900.5001388117605,823.6710712432856,947.364629274284,823.6710712432856,field_com,WorldsEdge,364.0,2.2628326133057297
442,752.3217396832289,813.7590629295627,938.0145254738862,632.6780808290858,285.9163765858827,285.9163765858827,field_max,StormPoint,321.0,0.8907052230089804
548,187.7578227398262,330.0003787876614,510.4213945359266,178.67424669848833,299.0539456352315,178.67424669848833,field_com,WorldsEdge,364.0,0.49086331510573716
70,917.8256915122828,1105.5102046114273,1309.4812904352625,1045.7111261601158,1425.3160413045243,917.8256915122828,center,BrokenMoon,380.0,2.4153307671375863
92,957.5640970713135,700.8559944810346,472.44100160760814,873.231500425538,961.2356955502644,472.44100160760814,mom05,StormPoint,321.0,1.471778821207502
86,1066.6920830305248,899.5200108946993,764.3225758801058,1260.8952304797929,1606.8736478018432,764.3225758801058,mom05,WorldsEdge,364.0,2.099787296373917
331,377.60561436504094,456.42859518220376,605.0018595012747,392.64137528662013,1350.2743122788063,377.60561436504094,center,WorldsEdge,364.0,1.0373780614424202
254,448.6981167778622,491.7240715075886,550.4900089919889,198.1883199427374,631.8388769298705,198.1883199427374,field_com,WorldsEdge,364.0,0.5444734064360918
516,381.72503192743335,288.8508481898573,358.6450194830538,309.50499719324165,350.8394048564092,288.8508481898573,mom025,BrokenMoon,380.0,0.7601338110259402
554,461.53223072717253,260.51991286655993,66.54697588921675,245.71561950495322,434.1261825782912,66.54697588921675,mom05,WorldsEdge,364.0,0.18282136233301305
426,529.4109934634905,300.0135413610526,112.90039858211308,453.4981102864999,591.8707345358443,112.90039858211308,mom05,BrokenMoon,380.0,0.2971063120581923
194,1069.0126285502897,850.4100849002203,645.3086470829288,964.7927178716191,841.7027019084588,645.3086470829288,mom05,BrokenMoon,380.0,1.6981806502182337
364,957.5729737205411,766.9284516824239,645.7592430619943,774.3105116201366,865.4083429225766,645.7592430619943,mom05,StormPoint,321.0,2.011711037576306
122,894.8815564084446,640.4635528271691,421.03236217659094,716.2173537020149,942.2665686524168,421.03236217659094,mom05,StormPoint,321.0,1.3116272965002833
270,937.5297328618435,743.9207787123572,583.6801350054668,790.1776111757247,324.8466025680429,324.8466025680429,field_max,BrokenMoon,380.0,0.8548594804422182
21,482.60335680556557,527.8977173657792,631.4823829688363,759.5968217926212,1267.409468167254,482.60335680556557,center,StormPoint,321.0,1.503437248615469
494,930.6024930119197,1094.5400004111318,1281.7352495737955,1242.0946625732067,1471.3139836214427,930.6024930119197,center,BrokenMoon,380.0,2.448953928978736
69,1046.755940991022,1162.368514069441,1310.3279169734576,938.0953174316991,419.0310270135145,419.0310270135145,field_max,BrokenMoon,380.0,1.102713228982933
169,727.6317750071117,565.6780223766874,423.74815633817224,464.6796695584503,841.5902090685239,423.74815633817224,mom05,WorldsEdge,364.0,1.1641432866433303
753,930.3359608227557,670.0489720908466,435.9615808761135,842.9454385906845,906.9603528269574,435.9615808761135,mom05,StormPoint,321.0,1.3581357659692008
125,426.55011428904805,487.95043293351017,599.8904066577494,516.5586933751057,1473.7246510797058,426.55011428904805,center,WorldsEdge,364.0,1.1718409733215607
394,621.6630920361929,441.18313941038133,339.97683744631786,593.976503327576,885.1956592753935,339.97683744631786,mom05,BrokenMoon,380.0,0.8946758880166259
281,601.4665410477959,389.07590840348877,182.46438008553886,340.69891496164155,499.7296933343063,182.46438008553886,mom05,BrokenMoon,380.0,0.4801694212777339
128,860.7531585768361,979.2890597264935,1155.3771029408535,927.7769116590387,1041.4746506756655,860.7531585768361,center,StormPoint,321.0,2.681474014258056
791,967.0082729739182,769.017067430886,585.5681002240473,1023.3631224589872,1899.364436015374,585.5681002240473,mom05,WorldsEdge,364.0,1.6087035720440859
535,840.9476797042728,586.5399069969579,372.69458005181673,548.8354535568943,67.35137712029396,67.35137712029396,field_max,StormPoint,321.0,0.20981737420652324
452,528.2594059739969,547.2698717269204,638.1647514552963,711.4813909275242,826.8942742575981,528.2594059739969,center,WorldsEdge,364.0,1.4512621043241671
151,1120.7363650743202,883.2825850202188,646.0979027980203,947.417708901203,755.7642478974514,646.0979027980203,mom05,BrokenMoon,380.0,1.7002576389421586
731,931.538512354696,651.3200538137913,372.1548736749258,754.2858433784771,148.00064864722646,148.00064864722646,field_max,StormPoint,321.0,0.46106121073902323
837,513.7908134640011,668.5226716424806,825.1062052851136,448.3844427125067,363.2099602158509,363.2099602158509,field_max,WorldsEdge,364.0,0.9978295610325575
742,898.6439784475272,880.1831130509152,919.1676941668478,765.0535244060856,246.5421310851355,246.5421310851355,field_max,WorldsEdge,364.0,0.6773135469371855
212,559.7865664697572,422.7606444549918,334.5911684429223,738.4536873702059,1166.6465370453898,334.5911684429223,mom05,WorldsEdge,364.0,0.919206506711325
766,237.11811402758752,199.55904514704415,268.2056114252645,120.4483172551152,430.2865315112715,120.4483172551152,field_com,StormPoint,321.0,0.3752284026639103
415,674.5146403155383,514.0235889528807,388.34649476981247,559.9962623248831,43.50560423669554,43.50560423669554,field_max,StormPoint,321.0,0.1355314773728833
715,947.1731626265602,991.3768834303128,1079.0553739266581,1023.7893568600023,1718.3057762808107,947.1731626265602,center,WorldsEdge,364.0,2.6021240731498905
398,328.7019926924691,524.62605730177,773.902448632901,473.2343897941225,959.4203083112211,328.7019926924691,center,StormPoint,321.0,1.0239937467055111
261,786.6924430805218,903.1931202683066,1036.1183571387971,810.2332374771596,1789.8200977751922,786.6924430805218,center,WorldsEdge,364.0,2.161242975495939
210,948.6832980505138,948.2343130787875,1000.8622532596582,910.4770151467162,64.98557378372523,64.98557378372523,field_max,WorldsEdge,364.0,0.17853179610913525
809,928.6382503429418,755.0765275784964,617.3866292688884,996.871882549663,1210.8708198647785,617.3866292688884,mom05,WorldsEdge,364.0,1.696117113376067
410,1060.7544484940895,839.724247893319,623.4767437523232,1005.0924691268671,1173.7918813827264,623.4767437523232,mom05,WorldsEdge,364.0,1.7128481971217668
127,607.7738066090049,801.9667231250932,1036.5435350239757,657.35691988583,1449.6660586493715,607.7738066090049,center,StormPoint,321.0,1.8933763445763392
286,1056.409485000963,952.4059664869809,900.5867531781711,862.0090769508578,557.0002470376473,557.0002470376473,field_max,BrokenMoon,380.0,1.4657901237832824
630,905.2657068507566,826.6158796563251,801.8555044395467,722.3627754512991,146.7154470394992,146.7154470394992,field_max,WorldsEdge,364.0,0.4030644149436791
124,993.430923617742,1016.9479460621374,1079.1350703225244,1046.4466003693103,1573.7403928221452,993.430923617742,center,WorldsEdge,364.0,2.729205834114676
106,737.0345989164958,545.3863882606532,380.10426201241154,718.3721355708262,510.5630288221035,380.10426201241154,mom05,BrokenMoon,380.0,1.0002743737168724
750,439.11388044560834,311.8317855831891,188.21330983753515,585.6541424052095,958.0179079745847,188.21330983753515,mom05,WorldsEdge,364.0,0.517069532520701
406,980.8511609821338,1184.6050238370594,1389.7104914333775,1158.2503796183526,1316.6739089083524,980.8511609821338,center,WorldsEdge,364.0,2.694646046654214
441,813.489397595322,624.7245893191654,481.1488854814068,1272.3237013430337,1812.559951008518,481.1488854814068,mom05,BrokenMoon,380.0,1.2661812775826495
225,904.4169392487074,842.775363011995,790.5290949737398,691.6420954095277,327.0996667684027,327.0996667684027,field_max,WorldsEdge,364.0,0.8986254581549524
308,741.5288261423152,976.2317860016648,1229.9077201156192,930.7631987768683,1099.3748172484218,741.5288261423152,center,StormPoint,321.0,2.3100586484184276
790,961.3844184300057,707.5433732288078,484.5250251535002,1093.5195288942318,1032.5985318602764,484.5250251535002,mom05,StormPoint,321.0,1.5094237543722748
266,459.88041923961055,643.6154228263956,842.0654665760851,640.0843983940703,859.1421665824582,459.88041923961055,center,WorldsEdge,364.0,1.2634077451637653
537,619.0484633693876,594.193676337943,599.073033944944,599.3420168828202,129.5885488768199,129.5885488768199,field_max,WorldsEdge,364.0,0.35601249691434045
445,400.8004491015448,582.6221438462496,786.831779988582,319.251803034469,779.1584732260823,319.251803034469,field_com,BrokenMoon,380.0,0.8401363237749184
348,795.9221067416082,827.2503399817978,861.5930013643333,746.8331990858175,234.71477158457623,234.71477158457623,field_max,WorldsEdge,364.0,0.6448208010565281
752,489.8826390065278,655.9606028566045,824.5297144433305,136.05797304852322,574.2554205229584,136.05797304852322,field_com,WorldsEdge,364.0,0.37378564024319566
322,617.9482178953185,685.1832327925136,793.3588406263588,571.1470730024737,380.5863686471175,380.5863686471175,field_max,WorldsEdge,364.0,1.0455669468327404
730,477.02620473093515,504.0687577106916,546.2913599902528,636.5217661230027,997.9665212821519,477.02620473093515,center,StormPoint,321.0,1.4860629430870254
538,633.192703685063,494.6476650101565,496.0758510550579,842.1302305468334,1325.4625016197172,494.6476650101565,mom025,StormPoint,321.0,1.5409584579755655
816,327.00152904841286,246.42810817761838,360.58875467767984,34.61735690870154,421.74366622392864,34.61735690870154,field_com,StormPoint,321.0,0.10784223336044092
417,539.3560975830347,744.9014196522919,953.022822391993,795.8713889324564,1233.3682823877066,539.3560975830347,center,StormPoint,321.0,1.6802370641216036
831,888.5814537789994,661.2388467868475,492.70401865623137,541.871466536889,499.8778634826709,492.70401865623137,mom05,StormPoint,321.0,1.5349034849103782
495,715.8561307972435,677.8872509495956,713.3123439279599,922.0675481422065,1357.1450327802113,677.8872509495956,mom025,StormPoint,321.0,2.111798289562603
498,507.8434798242466,569.1658918979598,648.9115887391748,422.13587558657207,999.233069909117,422.13587558657207,field_com,BrokenMoon,380.0,1.110883883122558
806,949.5583183775498,670.8539334311158,395.21766154867123,1014.9741418453784,1306.9081712193852,395.21766154867123,mom05,StormPoint,321.0,1.2312076683759228
647,593.5267475017448,655.1093897205259,716.6925770509976,378.4898009001002,916.9398235435094,378.4898009001002,field_com,WorldsEdge,364.0,1.0398071453299456
660,580.7038832313764,676.714535457899,858.0724037049553,764.1233334868218,1351.0928418136189,580.7038832313764,center,StormPoint,321.0,1.80904636520678
222,284.70335438838794,471.0051087833337,721.2955358242557,498.867607525923,796.9418287428524,284.70335438838794,center,StormPoint,321.0,0.8869263376585294
89,306.2188759694607,502.7328440633255,700.347235305459,551.6986568114601,1047.4798747470036,306.2188759694607,center,BrokenMoon,380.0,0.8058391472880545
828,350.051424793558,298.40461206221335,343.946580154535,462.9045807693979,1242.6110297273228,298.40461206221335,mom025,WorldsEdge,364.0,0.8197928902808059
246,855.3478824431611,601.5318985723034,351.1587959883676,876.0767887689503,880.1796334839843,351.1587959883676,mom05,StormPoint,321.0,1.0939526354777807
732,457.62976301809744,646.3451090555261,836.8590084357102,410.9319772240102,506.27881172334247,410.9319772240102,field_com,WorldsEdge,364.0,1.1289340033626654
63,579.4730364736567,653.2362704259463,780.6039328622422,379.3263841937231,90.13989128016568,90.13989128016568,field_max,WorldsEdge,364.0,0.24763706395649912
90,400.93016848324095,457.75682681965543,599.0561325952687,470.0528866881102,1124.4864783535636,400.93016848324095,center,WorldsEdge,364.0,1.1014565068220905
636,748.1824643761706,908.1987667906184,1078.3658933775678,817.4152907784282,1039.382000998671,748.1824643761706,center,WorldsEdge,364.0,2.0554463307037656
399,582.3787427439295,421.9100911331702,382.10535196461205,321.5318755566218,370.04279103909005,321.5318755566218,field_com,StormPoint,321.0,1.0016569331981988
649,991.162953302836,1071.413581442759,1180.4779752286781,1046.6746579071535,1190.4675310146008,991.162953302836,center,WorldsEdge,364.0,2.7229751464363625
248,488.082984747471,251.08228232991667,23.00543414065467,586.0678849793748,1572.0504134409941,23.00543414065467,mom05,BrokenMoon,380.0,0.060540616159617554
723,940.226036652889,695.5869823393764,491.39190062515274,704.715077396057,595.2413560901161,491.39190062515274,mom05,StormPoint,321.0,1.5308158897979836
480,970.9155473057376,769.8002987788457,596.1384067479632,748.0005562776214,1038.7691978490693,596.1384067479632,mom05,BrokenMoon,380.0,1.5687852809156928
330,438.26932358995873,508.9298208004714,585.9814416856561,489.33090004594703,937.8369674948841,438.26932358995873,center,WorldsEdge,364.0,1.2040366032691174
687,790.3701664410164,510.5870395926634,232.67681448739145,913.2121907164211,1209.1069266198094,232.67681448739145,mom05,StormPoint,321.0,0.7248498893688208
586,454.89559241654564,233.48032572360353,235.38319821091733,230.40661802544187,130.56049632258552,130.56049632258552,field_max,StormPoint,321.0,0.4067305181388957
141,390.0833244321013,670.7349047872789,951.4022545695381,395.09407868780335,669.0630224425789,390.0833244321013,center,StormPoint,321.0,1.2152128486981348
133,643.47882638048,563.0733189381291,566.3384588741965,817.2181039286974,1652.9124303483234,563.0733189381291,mom025,WorldsEdge,364.0,1.5469047223574974
284,951.1030438390994,724.662723272006,550.798738197538,893.3152398975411,851.0741006516416,550.798738197538,mom05,StormPoint,321.0,1.7158839196184985
176,732.2963880834044,598.0501651199504,580.1810062385704,692.4244270648941,470.92874365449296,470.92874365449296,field_max,StormPoint,321.0,1.4670677372414112
779,611.657583947097,645.7718734197084,712.5301747996361,124.42071771283085,462.520292311592,124.42071771283085,field_com,WorldsEdge,364.0,0.3418151585517331
250,102.9417310909429,80.12373243927169,59.42432162002356,239.99066885117801,589.802244824484,59.42432162002356,mom05,StormPoint,321.0,0.18512249725864038
836,757.5942185629455,824.4865068635145,940.2217823471227,987.661872391345,1719.8540966023827,757.5942185629455,center,WorldsEdge,364.0,2.08130279824985
342,464.81178986768396,294.3114846552883,286.2044723619811,474.13789329264023,648.9001464015869,286.2044723619811,mom05,StormPoint,321.0,0.8916027176385705
110,905.601457596,642.4375942455422,403.5607141434855,819.1379744402923,640.6671123134072,403.5607141434855,mom05,StormPoint,321.0,1.2571984864283037
741,747.8001069804683,875.5753822487245,1043.8869670610895,741.564846462617,398.4523660363933,398.4523660363933,field_max,StormPoint,321.0,1.2412846293968638
171,962.6723222363879,697.7825592546723,452.53508151302486,978.8572610957025,1341.985276223252,452.53508151302486,mom05,StormPoint,321.0,1.4097666090748437
19,898.4531150816942,977.3575663491841,1113.7173115292767,632.1091571186281,927.5424432337321,632.1091571186281,field_com,StormPoint,321.0,1.9691874053539817
625,812.0006157633134,671.7439988567073,531.8279797077246,881.3987096501954,1460.0560263222778,531.8279797077246,mom05,WorldsEdge,364.0,1.4610658783179247
855,634.8015437914435,529.1210282156626,550.6543834384686,567.8197956725816,796.442218870898,529.1210282156626,mom025,StormPoint,321.0,1.6483521128213787
656,664.3018892039973,467.80451312487355,312.62477508988314,660.9333612856226,718.5926022441356,312.62477508988314,mom05,WorldsEdge,364.0,0.8588592722249537
478,482.0809060728293,276.2283928201444,141.28871150944792,79.8273999161276,249.5311347307191,79.8273999161276,field_com,StormPoint,321.0,0.24868348883528849
643,668.0374241013748,929.1344426400306,1197.2335820548972,582.1899853613114,708.411835022538,582.1899853613114,field_com,StormPoint,321.0,1.8136759668576679
864,587.0408844365102,330.8069678830844,178.94133116750865,298.04530611517856,522.6704307687583,178.94133116750865,mom05,StormPoint,321.0,0.5574496298053229
473,375.83240945932266,420.93482274575473,559.2803411528068,666.8319458620742,840.8097896670811,375.83240945932266,center,WorldsEdge,364.0,1.0325066193937436
319,745.1993022004249,786.3297654292378,835.5429372569671,823.4680595850376,969.882480303671,745.1993022004249,center,StormPoint,321.0,2.3214931532723515
502,787.1067271977797,584.9643685729926,471.6940215860277,758.1037638449693,188.37133115206368,188.37133115206368,field_max,StormPoint,321.0,0.5868265767977061
386,609.9065502189659,403.4604224704079,197.70748594830695,597.7785012483939,1315.1666431293033,197.70748594830695,mom05,BrokenMoon,380.0,0.5202828577587025
168,841.4891561987,561.4386097339583,282.68577962111925,561.020965586154,233.0019776740094,233.0019776740094,field_max,StormPoint,321.0,0.7258628587975371
613,685.0883154747277,660.6005317133797,658.1134020820424,731.4047177775495,1655.3311079056066,658.1134020820424,mom05,WorldsEdge,364.0,1.808003851873743
300,793.4866098429135,515.9210210875303,245.9776412603389,808.8869596777604,1008.8345957588884,245.9776412603389,mom05,StormPoint,321.0,0.7662854867923331
718,588.9261413793754,700.226436590336,814.690892302105,321.5163512425899,467.80113552662567,321.5163512425899,field_com,WorldsEdge,364.0,0.8832866792378844
47,987.3611294759381,1062.3683741998348,1169.3661744723079,1101.885522597988,1397.490121038428,987.3611294759381,center,WorldsEdge,364.0,2.7125305754833464
436,1034.1653639529802,1006.3275435960201,1023.6027061316321,944.0991041194193,830.4656159047161,830.4656159047161,field_max,BrokenMoon,380.0,2.1854358313282
514,547.7116029444693,273.175996383284,83.17752100177067,466.5741742991038,482.0161009758905,83.17752100177067,mom05,StormPoint,321.0,0.25912000312078093
481,939.6733474990126,1044.3434839649262,1187.9487573123683,609.6732965149262,529.3221325431231,529.3221325431231,field_max,BrokenMoon,380.0,1.3929529803766396
85,733.9891007365163,816.6624914859258,900.426843224923,890.7860724682738,1108.797760459499,733.9891007365163,center,WorldsEdge,364.0,2.016453573451968
775,759.6051605933177,501.05850456807934,272.06341172601657,567.5301966977333,276.48104455821147,272.06341172601657,mom05,StormPoint,321.0,0.847549569239927
388,418.71470000466906,555.1966430914365,769.5454827364007,511.8028905091589,691.742385574282,418.71470000466906,center,StormPoint,321.0,1.3044071651235796
550,707.4015832608801,775.2825694545182,894.4530451622376,805.0440620900929,891.8062471187336,707.4015832608801,center,WorldsEdge,364.0,1.943410943024396
309,1036.945996665207,822.0496487439186,609.5756720867392,1229.7632609105162,1618.8829304183798,609.5756720867392,mom05,WorldsEdge,364.0,1.6746584397987343
48,1015.955215548402,802.5267908300632,607.2841180205522,976.1139847566053,74.57358245384282,74.57358245384282,field_max,BrokenMoon,380.0,0.19624626961537583
811,783.2611314242523,513.0224775777373,244.50204498122304,940.5174604901224,1424.4929534399246,244.50204498122304,mom05,StormPoint,321.0,0.7616886136486699
783,774.4759518538972,519.3055458975958,298.18786024920604,609.1943517776153,186.5784081827258,186.5784081827258,field_max,StormPoint,321.0,0.5812411469866847
41,808.9283033742854,787.3428811515349,826.7752112878082,421.84269892011923,336.8240798992855,336.8240798992855,field_max,WorldsEdge,364.0,0.9253408788441909
596,356.5459297201414,174.70331994555798,172.28464818433477,647.8857006103857,1035.434608654742,172.28464818433477,mom05,WorldsEdge,364.0,0.4733094730338867
197,1017.3072298966522,1102.868305828035,1190.826603666546,1114.068616219163,1426.0542357147572,1017.3072298966522,center,BrokenMoon,380.0,2.6771242892017164
789,368.0869462504749,568.6225681416452,774.3529556991438,319.79335572007056,266.6702833088089,266.6702833088089,field_max,StormPoint,321.0,0.830748546133361
640,798.304453200657,1067.4388155767992,1338.4799214033806,922.6866538106077,956.8486542813347,798.304453200657,center,StormPoint,321.0,2.4869297607497103
577,99.1261822123701,321.34726154115583,545.0057339147911,379.24446183642016,774.8528520951576,99.1261822123701,center,WorldsEdge,364.0,0.27232467640761016
37,741.8800442120007,845.5265001760738,959.6359986995069,814.1464805673604,868.7643768019041,741.8800442120007,center,WorldsEdge,364.0,2.0381319895934085
395,737.6245657514397,826.8473634837327,921.6155651897378,876.8795299367054,1713.730341448152,737.6245657514397,center,BrokenMoon,380.0,1.9411172782932624
519,344.363180377926,534.0014630129772,742.7821012921623,315.05081141918924,123.63759298854119,123.63759298854119,field_max,StormPoint,321.0,0.3851638410857981
566,995.5390499623809,851.5439286965764,742.1329058868096,1213.463398532491,1510.8756475633595,742.1329058868096,mom05,WorldsEdge,364.0,2.038826664524202
328,539.6897256757812,707.9725453716409,883.0314263943271,473.8635914677419,905.4824888422744,473.8635914677419,field_com,StormPoint,321.0,1.4762105653200683
