map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,651.4638599315148,580.7420904576275,26,651.4638599315148,580.7420904576275,26,1.714378578767144,1.5282686590990198,26
StormPoint,558.6558375714882,527.0256495338142,79,558.6558375714882,527.0256495338142,79,1.740360864708686,1.6418244533763682,79
WorldsEdge,656.025915259181,648.2587037963631,68,656.025915259181,648.2587037963631,68,1.802268997964783,1.7809305049350637,68
