map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,751.8161858545554,744.9972438902373,26,751.8161858545554,744.9972438902373,26,1.9784636469856725,1.9605190628690456,26
StormPoint,641.2600473850491,651.9749333734426,79,641.2600473850491,651.9749333734426,79,1.9976948516668196,2.0310745587957713,79
WorldsEdge,662.9171123910965,681.5932494302848,68,662.9171123910965,681.5932494302848,68,1.8212008582172978,1.872508927006277,68
