map,raw_error_mean,raw_error_median,raw_error_count,clipped_error_mean,clipped_error_median,clipped_error_count,norm_error_mean,norm_error_median,norm_error_count
BrokenMoon,745.768828280121,618.5896908093866,26,745.768828280121,618.5896908093866,26,1.9625495481055817,1.6278676073931226,26
StormPoint,625.071531007928,522.6704307687584,79,625.071531007928,522.6704307687584,79,1.947263336473296,1.6282567936721444,79
WorldsEdge,820.8294950923479,796.0205419540332,68,820.8294950923479,796.0205419540332,68,2.2550260854185384,2.186869620752838,68
